control_id,theme,control_name,description,applicability,status,evidence,owner,due_date,priority,notes
A.5.1,Organisationnel,Politiques de sécurité,Politique SSI et politiques thématiques approuvees par la direction,Applicable,En place,PSSI v2.3 signee CODIR,RSSI,2026-12-31,Haute,Revue annuelle
A.5.2,Organisationnel,Rôles et responsabilités SSI,Définition formelle des rôles SSI,Applicable,En place,Fiche de poste RSSI + matrice RACI,DRH,2026-12-31,Haute,
A.5.3,Organisationnel,Séparation des tâches,Tâches incompatibles séparées entre individus,Applicable,Partiel,Cartographie en cours,RSSI,2026-06-30,Moyenne,Audit prevu Q2
A.5.4,Organisationnel,Responsabilites direction,La direction promeut activement la SSI,Applicable,En place,PV CODIR mensuel SSI,DG,N/A,Haute,
A.5.5,Organisationnel,Contact avec les autorités,Procédure de notification CNIL/ANSSI,Applicable,En place,Procedure NOTIF-001,DPO,2026-12-31,Haute,Test annuel
A.5.6,Organisationnel,Contact groupes specialistes,Veille via CERT-FR/ANSSI,Applicable,En place,Abonnement CERT-FR + MITRE,RSSI,N/A,Basse,
A.5.7,Organisationnel,Cyber threat intelligence,Collecte et analyse de menaces,Applicable,Partiel,Bulletin CTI mensuel interne,Analyste SOC,2026-09-30,Moyenne,Outil en cours
A.5.8,Organisationnel,SSI en gestion de projet,SSI intégrée des phases amont,Applicable,En place,Checklist projet + revue archi,Chef projet,N/A,Haute,
A.5.9,Organisationnel,Inventaire des actifs,Inventaire des informations et actifs associés,Applicable,En place,CMDB ServiceNow,IT Manager,Continu,Haute,
A.5.10,Organisationnel,Utilisation acceptable,Charte informatique signee employés,Applicable,En place,Charte v1.4 + onboarding,DRH,N/A,Haute,
A.5.11,Organisationnel,Restitution des actifs,Procédure offboarding,Applicable,En place,Checklist offboarding,DRH,N/A,Moyenne,
A.5.12,Organisationnel,Classification de l'information,4 niveaux : Public/Interne/Confidentiel/Secret,Applicable,En place,Guide CLASS-001,DPO,N/A,Haute,
A.5.13,Organisationnel,Marquage de l'information,Marquage automatique M365 sensitivity labels,Applicable,Partiel,Pilote 50 utilisateurs,IT Sec,2026-09-30,Moyenne,Deploy generalise Q4
A.5.14,Organisationnel,Transfert d'information,Procedure transferts sécurisés,Applicable,En place,Procedure TRANS-002,IT Sec,N/A,Moyenne,
A.5.15,Contrôle d'accès,Contrôle d'accès,Politique d'accès basée sur les besoins métier,Applicable,En place,Politique IAM,IT Sec,2026-12-31,Haute,
A.5.16,Contrôle d'accès,Gestion des identités,Cycle de vie identités automatisé,Applicable,En place,Azure AD + IGA,IT Sec,Continu,Haute,
A.5.17,Contrôle d'accès,Informations d'authentification,Gestion sécurisée des secrets,Applicable,En place,CyberArk + Azure Key Vault,IT Sec,Continu,Haute,
A.5.18,Contrôle d'accès,Droits d'accès,Revue des droits semestrielle,Applicable,Partiel,Campagne H2 2026 OK / H1 retard,IT Sec,2026-06-30,Haute,Outiller via SailPoint
A.5.19,Fournisseurs,Sécurité dans les relations fournisseurs,TPRM en place,Applicable,En place,Procédure TPRM-001,Achats,Continu,Haute,
A.5.20,Fournisseurs,Sécurité dans les contrats fournisseurs,Clauses sécurité contractuelles,Applicable,En place,Clauses type juridique,Juridique,N/A,Haute,
A.5.21,Fournisseurs,Sécurité dans la chaîne d'approv ICT,Évaluation chaîne ICT,Applicable,Partiel,SBOM en cours,RSSI,2026-09-30,Moyenne,
A.5.22,Fournisseurs,Surveillance services fournisseurs,Monitoring SLA + revue annuelle,Applicable,En place,Dashboard SLA,Achats,Continu,Moyenne,
A.5.23,Fournisseurs,Sécurité usage services cloud,Politique cloud + CASB,Applicable,En place,Politique CLOUD-001 + Defender for Cloud Apps,RSSI,N/A,Haute,
A.5.24,Incident,Planif gestion incidents SSI,Plan IR documenté,Applicable,En place,Plan IRP v2,SOC Lead,2026-12-31,Haute,
A.5.25,Incident,Évaluation et décision incidents,Triage SOC,Applicable,En place,Procedure SOC-IR-001,SOC Lead,Continu,Haute,
A.5.26,Incident,Réponse incidents SSI,Playbooks par scénario,Applicable,Partiel,12/20 playbooks publiés,SOC Lead,2026-12-31,Haute,
A.5.27,Incident,Apprendre des incidents,Post-mortem systematique,Applicable,En place,Template PM + RetEx trimestriel,RSSI,Continu,Moyenne,
A.5.28,Incident,Collecte de preuves,Forensics chain of custody,Applicable,Partiel,Procedure ok / outils a outiller,SOC Lead,2026-09-30,Moyenne,
A.5.29,Continuité,SSI durant disruption,Plan PCA/PRA cyber,Applicable,En place,PCA v3 + PRA v2,Direction,2026-12-31,Haute,Test annuel
A.5.30,Continuité,Préparation ICT à la continuité,RTO/RPO documentes par SI,Applicable,En place,BIA 2025,IT Manager,2026-12-31,Haute,
A.5.31,Conformité,Exigences légales et contractuelles,Veille réglementaire,Applicable,En place,Registre légal trimestriel,Juridique,Continu,Haute,RGPD/NIS2/DORA
A.5.32,Conformité,Droits de propriété intellectuelle,Procédure licences logicielles,Applicable,En place,SAM tool,IT Manager,N/A,Basse,
A.5.33,Conformité,Protection des enregistrements,Politique de retention,Applicable,En place,Politique RET-001,DPO,N/A,Haute,
A.5.34,Conformité,Vie privée et données personnelles,Programme RGPD,Applicable,En place,DPO + registre traitements,DPO,Continu,Haute,
A.5.35,Conformité,Revue indépendante de la SSI,Audit interne annuel,Applicable,En place,Audit 2025 + plan 2026,RSSI,2026-12-31,Haute,
A.5.36,Conformité,Conformité avec les politiques,Contrôle interne semestriel,Applicable,Partiel,Campagne H2 OK,RSSI,2026-06-30,Moyenne,
A.5.37,Conformité,Procédures opérationnelles documentées,Procédures runbook a jour,Applicable,Partiel,70% couverture,IT Manager,2026-12-31,Moyenne,
A.6.1,Humain,Vérification (screening),Verifications avant embauche,Applicable,En place,Procedure SCREEN-001,DRH,N/A,Haute,
A.6.2,Humain,Conditions d'emploi,Clauses sécurité au contrat,Applicable,En place,Modele contrat,Juridique,N/A,Haute,
A.6.3,Humain,Sensibilisation formation,Plan annuel sensibilisation,Applicable,En place,Cyber awareness 100% effectif,RSSI,2026-12-31,Haute,Phishing simulé trimestriel
A.6.4,Humain,Processus disciplinaire,Sanctions violations SSI,Applicable,En place,RI + procédure DRH,DRH,N/A,Haute,
A.6.5,Humain,Responsabilités après emploi,Clause confidentialité post-emploi,Applicable,En place,Modele contrat,Juridique,N/A,Moyenne,
A.6.6,Humain,Accords de confidentialité,NDA fournisseurs,Applicable,En place,Modele NDA,Juridique,N/A,Haute,
A.6.7,Humain,Travail à distance,Politique télétravail sécurisé,Applicable,En place,Politique TT-001 + EDR,IT Sec,N/A,Haute,
A.6.8,Humain,Signalement événements SSI,Outil de signalement,Applicable,En place,Mailbox + ticket dédié,SOC,Continu,Moyenne,
A.7.1,Physique,Périmètres de sécurité physique,Zones contrôlées,Applicable,En place,Badge + visiteurs,Securite,N/A,Moyenne,
A.7.2,Physique,Entrée physique,Contrôle d'accès locaux,Applicable,En place,Badge personnel,Securite,N/A,Moyenne,
A.7.3,Physique,Securisation bureaux et installations,Politique clean desk,Applicable,Partiel,Sensibilisation OK / audit a faire,Securite,2026-06-30,Basse,
A.7.4,Physique,Surveillance physique,CCTV + journal d'acces,Applicable,En place,Système conforme CNIL,Securite,N/A,Moyenne,
A.7.5,Physique,Protection menaces physiques/env,DataCenter Tier III,Applicable,En place,Audit DC 2025,IT Manager,Continu,Haute,
A.7.6,Physique,Travail en zone sécurisée,Procédure zone Confidentiel+,Applicable,En place,Procedure SECZ-001,RSSI,N/A,Haute,
A.7.7,Physique,Bureau propre et écran propre,Politique formelle,Applicable,En place,Charte,DRH,N/A,Basse,
A.7.8,Physique,Emplacement et protection équipements,Inventaire + politique,Applicable,En place,CMDB,IT Manager,Continu,Moyenne,
A.7.9,Physique,Sécurité actifs hors site,Politique nomadisme,Applicable,En place,Politique NOMAD-001,IT Sec,N/A,Moyenne,
A.7.10,Physique,Supports de stockage,Politique supports amovibles,Applicable,En place,USB block + chiffrement,IT Sec,N/A,Haute,
A.7.11,Physique,Services support (énergie),UPS + groupe électrogène,Applicable,En place,Test mensuel,Securite,Continu,Haute,
A.7.12,Physique,Sécurité du câblage,Chemins de câbles dédiés,Applicable,En place,Plans archi,IT Infra,N/A,Basse,
