id,nom_traitement,finalite,base_legale,categories_personnes,categories_donnees,donnees_sensibles,destinataires_internes,destinataires_externes,transferts_hors_ue,duree_conservation,mesures_securite_techniques,mesures_securite_organisationnelles,responsable_traitement,dpo,date_creation,date_revue
T-001,Gestion de la paie,Calcul + versement salaires + déclarations sociales,Obligation légale (art. 6.1.c),Salariés et anciens salariés,"Identité, IBAN, NIR, salaire, primes",Oui (NIR),"RH, Comptabilité",URSSAF + caisses sociales + expert-comptable,Non,5 ans après fin de contrat (LPF L.102B),"Chiffrement AES-256 au repos, TLS 1.3 en transit, MFA","Habilitations RH limitatives, charte signée, formation annuelle",PME-Demo SAS,DPO externe Cabinet Y,2024-01-15,2026-01-15
T-002,Gestion des candidatures,Recrutement et sélection de candidats,Mesures précontractuelles (art. 6.1.b),Candidats,"CV, lettre, coordonnées, parcours, photo si fournie",Non,RH + manager du poste,ATS SaaS (Talentsoft),Hébergement Irlande (UE),24 mois max après dernier contact,"Anonymisation après refus, chiffrement",Procédure RGPD recrutement,PME-Demo SAS,DPO externe Cabinet Y,2024-03-01,2026-03-01
T-003,Vidéosurveillance siège,Sécurité des biens et des personnes,Intérêt légitime (art. 6.1.f),"Salariés, visiteurs",Image (CCTV),Non,Service sécurité,Forces de l'ordre sur réquisition,Non,30 jours,"Caméras IP chiffrées, accès journalisé",Affichage information + procédure CNIL,PME-Demo SAS,DPO externe Cabinet Y,2024-02-01,2026-02-01
T-004,Newsletter clients,Information commerciale,Consentement (art. 6.1.a),Prospects et clients ayant opt-in,"Email, prénom, préférences",Non,Marketing,Mailchimp (Mailchimp Transfer SCCs),Oui (US — SCCs + TIA documenté),3 ans après dernière interaction OU désinscription,"TLS, double opt-in, gestion désinscription",Procédure consentement + preuve,PME-Demo SAS,DPO externe Cabinet Y,2024-06-10,2026-06-10
T-005,Badges d'accès,Contrôle d'accès aux locaux,Intérêt légitime (art. 6.1.f),"Salariés, prestataires",Identité + horodatage entrées/sorties,Non,Service sécurité,Aucun,Non,3 mois (CNIL délibération 2019-001),"Système chiffré, journal immutable",Procédure + information collaborateurs,PME-Demo SAS,DPO externe Cabinet Y,2024-02-15,2026-02-15
T-006,Évaluation annuelle des collaborateurs,GPEC + décisions RH,Exécution du contrat (art. 6.1.b),Salariés,"Identité, objectifs, évaluation manager, auto-évaluation",Non,RH + manager direct,Aucun,Non,Durée du contrat + 5 ans,"SIRH chiffré, accès par habilitation",Procédure RH + formation managers,PME-Demo SAS,DPO externe Cabinet Y,2024-01-20,2026-01-20
T-007,Logs applicatifs et SIEM,Sécurité du SI + investigation incidents,Intérêt légitime (art. 6.1.f),"Salariés, utilisateurs externes",Identifiants techniques + adresses IP + actions,Non,SOC + IT,Aucun (sauf réquisition judiciaire),Non,6 mois (SIEM) / 1 an (incidents),"Sentinel chiffré, RBAC, traçabilité accès",PSSI + procédure investigation,PME-Demo SAS,DPO externe Cabinet Y,2024-04-01,2026-04-01
T-008,Cookies analytiques site web,Mesure d'audience,Consentement (art. 6.1.a) ou exemption CNIL,Visiteurs du site,"ID cookie, pages vues, durée, source",Non,Marketing,Plausible (FR) — exemption CNIL,Non,13 mois max,"Anonymisation IP, pas de cross-site tracking",Bandeau conforme RGPD,PME-Demo SAS,DPO externe Cabinet Y,2024-05-01,2026-05-01
T-009,Gestion des incidents de sécurité,Réponse aux incidents + notification CNIL/ANSSI si requis,Obligation légale (art. 33-34 RGPD + NIS 2),"Toute personne concernée par un incident","Variable selon incident",Possible (selon incident),"SOC, RSSI, DPO, Direction","CNIL si violation, ANSSI si OSE, sous-traitants forensic",Non,5 ans (durée prescription pénale),"Coffre fort numérique, accès limité",Procédure IRP + DPIA cas par cas,PME-Demo SAS,DPO externe Cabinet Y,2024-07-01,2026-07-01
T-010,Whistleblowing (loi Sapin 2 / Waserman),Recueil et traitement des alertes éthiques,Obligation légale (loi 2016-1691 modifiée),"Lanceurs d'alerte, personnes mises en cause","Identité (sauf alerte anonyme), faits rapportés",Possible,"Référent éthique (poste dédié), DRH si nécessaire",Aucun par défaut,Non,2 mois après clôture (si non fondée) / 5 ans (si fondée),"Plateforme externe chiffrée bout-en-bout","Procédure formalisée, formation référent",PME-Demo SAS,DPO externe Cabinet Y,2024-09-01,2026-09-01
